4-28-5 ->4-28-4	0->3.57842 3.57842
4-28-4 ->4-28-3	3.57842->7.10257 3.52415
4-28-3 ->4-28-2	7.10257->10.4332 3.33062
4-28-2 ->4-28-1	10.4332->13.9501 3.51692
4-28-1 ->4-28-0	13.9501->15.9214 1.97132
4-28-0 ->4-29-0	15.9214->23.0637 7.14229
4-29-0 ->4-31-0	23.0637->26.5365 3.47278
4-31-0 ->4-33-0	26.5365->29.5155 2.979
4-33-0 ->4-35-0	29.5155->32.5891 3.07365
4-35-0 ->4-37-0	32.5891->35.6715 3.08239
4-37-0 ->4-39-0	35.6715->38.807 3.13544
4-39-0 ->4-41-0	38.807->41.587 2.78007
4-41-0 ->4-42-0	41.587->46.0951 4.50801
4-42-0 ->3-4-0	46.0951->55.6689 9.57383
3-4-0 ->3-3-0	55.6689->83.0885 27.4196
3-3-0 ->3-2-0	83.0885->95.159 12.0705
3-2-0 ->3-1-0	95.159->162.554 67.3947
3-1-0 ->2-10-0	162.554->173.903 11.349
2-10-0 ->2-9-0	173.903->186.411 12.5084
2-9-0 ->2-8-0	186.411->197.905 11.4943
2-8-0 ->2-7-0	197.905->201.933 4.02736
2-7-0 ->2-3-0	201.933->208.578 6.6451
2-3-0 ->2-2-0	208.578->212.913 4.33543
2-2-0 ->2-6-0	212.913->225.514 12.6004
2-6-0 ->2-6-1	225.514->228.501 2.98724
2-6-1 ->2-6-2	228.501->231.966 3.4649
car1:
4-14-5 ->4-14-4	0->3.25725 3.25725
4-14-4 ->4-14-3	3.25725->6.73001 3.47276
4-14-3 ->4-14-2	6.73001->10.3285 3.59844
4-14-2 ->4-14-1	10.3285->13.5989 3.27048
4-14-1 ->4-14-0	13.5989->15.7811 2.18219
4-14-0 ->4-15-0	15.7811->22.0184 6.23726
4-15-0 ->4-17-0	22.0184->25.4134 3.39503
4-17-0 ->4-19-0	25.4134->28.548 3.13454
4-19-0 ->4-21-0	28.548->31.5421 2.99416
4-21-0 ->4-23-0	31.5421->34.5609 3.0188
4-23-0 ->4-25-0	34.5609->37.6436 3.0827
4-25-0 ->4-27-0	37.6436->40.7681 3.12447
4-27-0 ->4-29-0	40.7681->43.7682 3.00013
4-29-0 ->4-31-0	43.7682->46.9002 3.132
4-31-0 ->4-33-0	46.9002->49.8792 2.979
4-33-0 ->4-35-0	49.8792->52.9529 3.07365
4-35-0 ->4-37-0	52.9529->56.0353 3.08239
4-37-0 ->4-39-0	56.0353->59.1707 3.13544
4-39-0 ->4-41-0	59.1707->61.9508 2.78007
4-41-0 ->4-42-0	61.9508->66.4588 4.50801
4-42-0 ->3-4-0	66.4588->76.0326 9.57383
3-4-0 ->3-3-0	76.0326->103.452 27.4196
3-3-0 ->3-2-0	103.452->115.523 12.0705
3-2-0 ->3-1-0	115.523->182.917 67.3947
3-1-0 ->2-10-0	182.917->194.266 11.349
2-10-0 ->2-9-0	194.266->206.775 12.5084
2-9-0 ->2-8-0	206.775->218.269 11.4943
2-8-0 ->2-7-0	218.269->222.296 4.02736
2-7-0 ->2-3-0	222.296->228.942 6.6451
2-3-0 ->2-2-0	228.942->233.277 4.33543
2-2-0 ->2-4-0	233.277->241.672 8.39468
2-4-0 ->2-4-1	241.672->244.821 3.14894
car2:
5-7-5 ->5-7-4	0->4.43366 4.43366
5-7-4 ->5-7-3	4.43366->8.6391 4.20544
5-7-3 ->5-7-2	8.6391->12.9779 4.33881
5-7-2 ->5-7-1	12.9779->16.7724 3.79449
5-7-1 ->5-7-0	16.7724->19.207 2.43461
5-7-0 ->5-10-0	19.207->26.8578 7.65082
5-10-0 ->5-12-0	26.8578->31.0143 4.15649
5-12-0 ->5-14-0	31.0143->34.8297 3.81536
5-14-0 ->5-16-0	34.8297->38.6373 3.80762
5-16-0 ->5-18-0	38.6373->42.4878 3.85045
5-18-0 ->5-20-0	42.4878->46.2826 3.7948
5-20-0 ->5-22-0	46.2826->50.0696 3.78708
5-22-0 ->5-24-0	50.0696->53.8968 3.82714
5-24-0 ->5-26-0	53.8968->57.6601 3.76331
5-26-0 ->5-28-0	57.6601->61.4831 3.82301
5-28-0 ->5-30-0	61.4831->65.265 3.78185
5-30-0 ->5-32-0	65.265->69.2451 3.98011
5-32-0 ->5-33-0	69.2451->72.4791 3.23406
5-33-0 ->5-34-0	72.4791->79.3264 6.84726
5-34-0 ->3-9-0	79.3264->92.6689 13.3425
3-9-0 ->3-8-0	92.6689->98.0218 5.35295
3-8-0 ->3-7-0	98.0218->106.877 8.85544
3-7-0 ->3-6-0	106.877->119.396 12.5183
3-6-0 ->3-5-0	119.396->130.985 11.5899
3-5-0 ->3-4-0	130.985->143.483 12.4976
3-4-0 ->3-3-0	143.483->177.295 33.8118
3-3-0 ->3-2-0	177.295->192.383 15.0881
3-2-0 ->3-1-0	192.383->276.626 84.2434
3-1-0 ->2-10-0	276.626->290.774 14.148
2-10-0 ->2-9-0	290.774->306.288 15.5141
2-9-0 ->2-5-0	306.288->318.884 12.5951
2-5-0 ->2-1-0	318.884->376.756 57.8728
2-1-0 ->6-4-0	376.756->388.93 12.1735
6-4-0 ->6-3-0	388.93->439.188 50.258
6-3-0 ->6-2-0	439.188->447.238 8.05038
6-2-0 ->1-2-0	447.238->456.761 9.52279
1-2-0 ->1-2-1	456.761->459.883 3.1223
1-2-1 ->1-2-2	459.883->463.891 4.00755
1-2-2 ->1-2-3	463.891->468.387 4.49634
car3:
