4-18-5 ->4-18-4	0->3.25725 3.25725
4-18-4 ->4-18-3	3.25725->6.72999 3.47274
4-18-3 ->4-18-2	6.72999->10.3285 3.59849
4-18-2 ->4-18-1	10.3285->13.5988 3.27029
4-18-1 ->4-18-0	13.5988->15.7809 2.18214
4-18-0 ->4-15-0	15.7809->22.0847 6.30381
4-15-0 ->4-13-0	22.0847->25.3238 3.23904
4-13-0 ->4-10-0	25.3238->31.7615 6.43771
4-10-0 ->4-9-0	31.7615->35.5652 3.80371
4-9-0 ->4-8-0	35.5652->39.092 3.52683
4-8-0 ->4-6-0	39.092->41.5236 2.43162
4-6-0 ->4-4-0	41.5236->44.4104 2.88681
4-4-0 ->4-2-0	44.4104->47.2501 2.83965
4-2-0 ->4-1-0	47.2501->49.1721 1.92198
4-1-0 ->6-9-0	49.1721->60.6684 11.4963
6-9-0 ->6-8-0	60.6684->92.6031 31.9347
6-8-0 ->7-8-0	92.6031->102.126 9.52298
7-8-0 ->7-7-0	102.126->111.66 9.53354
7-7-0 ->7-5-0	111.66->114.035 2.37507
7-5-0 ->7-6-0	114.035->119.844 5.80895
car1:
4-5-1 ->4-5-0	0->1.87522 1.87522
4-5-0 ->4-8-0	1.87522->8.14115 6.26593
4-8-0 ->4-9-0	8.14115->11.9129 3.77173
4-9-0 ->4-11-0	11.9129->21.9798 10.0669
4-11-0 ->5-3-0	21.9798->49.225 27.2452
5-3-0 ->5-6-0	49.225->56.0116 6.78657
5-6-0 ->5-8-0	56.0116->59.2557 3.24411
5-8-0 ->5-10-0	59.2557->62.2434 2.98771
5-10-0 ->5-12-0	62.2434->65.3468 3.10337
5-12-0 ->5-14-0	65.3468->68.399 3.05229
5-14-0 ->5-16-0	68.399->71.4451 3.0461
5-16-0 ->5-18-0	71.4451->74.5255 3.08036
5-18-0 ->5-20-0	74.5255->77.5613 3.03584
5-20-0 ->5-22-0	77.5613->80.591 3.02966
5-22-0 ->5-24-0	80.591->83.6527 3.06171
5-24-0 ->5-25-0	83.6527->89.8309 6.17817
car2:
4-7-1 ->4-7-0	0->2.33882 2.33882
4-7-0 ->4-9-0	13.9129->22.8824 8.96955
4-9-0 ->4-11-0	22.8824->34.8189 11.9364
4-11-0 ->4-13-0	34.8189->54.5668 19.7479
4-13-0 ->4-15-0	54.5668->58.9422 4.37546
4-15-0 ->4-17-0	58.9422->62.8105 3.86824
4-17-0 ->4-19-0	62.8105->66.7287 3.91818
4-19-0 ->4-21-0	66.7287->70.4714 3.7427
4-21-0 ->4-23-0	70.4714->74.2449 3.7735
4-23-0 ->4-25-0	74.2449->78.0982 3.85329
4-25-0 ->4-27-0	78.0982->82.0034 3.90525
car3:
