3-11-1 ->3-11-0	0->2.17321 2.17321
3-11-0 ->3-7-0	2.17321->8.44667 6.27346
3-7-0 ->3-8-0	8.44667->17.3057 8.85906
3-8-0 ->3-9-0	17.3057->21.3391 4.03333
3-9-0 ->5-34-0	21.3391->32.1043 10.7653
5-34-0 ->5-33-0	32.1043->37.8571 5.75278
5-33-0 ->5-32-0	37.8571->40.4444 2.58725
5-32-0 ->5-30-0	40.4444->43.6285 3.18409
5-30-0 ->5-28-0	43.6285->46.6539 3.02548
5-28-0 ->5-26-0	46.6539->49.7124 3.05841
5-26-0 ->5-24-0	49.7124->52.723 3.01065
5-24-0 ->5-22-0	52.723->55.7847 3.06171
5-22-0 ->5-20-0	55.7847->58.8144 3.02966
5-20-0 ->5-18-0	58.8144->61.8502 3.03584
5-18-0 ->5-16-0	61.8502->64.9306 3.08036
5-16-0 ->5-14-0	64.9306->67.9767 3.0461
5-14-0 ->5-12-0	67.9767->71.029 3.05229
5-12-0 ->5-10-0	71.029->74.1323 3.10337
5-10-0 ->5-8-0	74.1323->77.12 2.98771
5-8-0 ->5-5-0	77.12->83.2893 6.16921
5-5-0 ->5-5-1	83.2893->85.5499 2.2606
5-5-1 ->5-5-2	85.5499->88.5444 2.99456
5-5-2 ->5-5-3	88.5444->92.0339 3.48951
5-5-3 ->5-5-4	92.0339->95.3799 3.34598
5-5-4 ->5-5-5	95.3799->98.8947 3.51478
car1:
4-5-1 ->4-5-0	0->1.87522 1.87522
4-5-0 ->4-8-0	1.87522->8.14115 6.26593
4-8-0 ->4-9-0	8.14115->11.9129 3.77173
4-9-0 ->4-11-0	11.9129->21.9798 10.0669
4-11-0 ->5-3-0	21.9798->49.225 27.2452
5-3-0 ->5-6-0	49.225->56.0116 6.78657
5-6-0 ->5-8-0	56.0116->59.2557 3.24411
5-8-0 ->5-9-0	59.2557->65.4134 6.15775
5-9-0 ->5-12-0	79.1323->86.5961 7.46381
5-12-0 ->5-14-0	86.5961->89.9129 3.31675
5-14-0 ->5-16-0	89.9129->92.959 3.0461
5-16-0 ->5-18-0	92.959->96.0394 3.08036
5-18-0 ->5-20-0	96.0394->99.0752 3.03584
5-20-0 ->5-22-0	99.0752->102.105 3.02966
5-22-0 ->5-24-0	102.105->105.167 3.06171
5-24-0 ->5-26-0	105.167->108.177 3.01065
5-26-0 ->5-28-0	108.177->111.236 3.05841
5-28-0 ->5-29-0	111.236->117.427 6.19125
5-29-0 ->5-29-1	117.427->119.696 2.26874
5-29-1 ->5-29-2	119.696->122.81 3.11465
5-29-2 ->5-29-3	122.81->126.267 3.45638
5-29-3 ->5-29-4	126.267->129.759 3.49262
5-29-4 ->5-29-5	129.759->133.069 3.3101
car2:
4-20-5 ->4-20-4	0->4.05905 4.05905
4-20-4 ->4-20-3	4.05905->8.39995 4.3409
4-20-3 ->4-20-2	8.39995->12.898 4.49806
4-20-2 ->4-20-1	12.898->16.9858 4.08783
4-20-1 ->4-20-0	16.9858->19.7134 2.72758
4-20-0 ->4-17-0	19.7134->27.6222 7.9088
4-17-0 ->4-15-0	27.6222->31.7701 4.1479
4-15-0 ->4-13-0	31.7701->35.4637 3.69362
4-13-0 ->4-10-0	35.4637->43.4827 8.01894
4-10-0 ->4-9-0	43.4827->48.2341 4.75146
4-9-0 ->4-7-0	48.2341->57.8443 9.6102
4-7-0 ->4-7-1	57.8443->60.3935 2.54914
car3:
