4-1-0 ->4-2-0	0->11.6099 11.6099
4-2-0 ->4-4-0	11.6099->25.8082 14.1983
4-4-0 ->4-6-0	25.8082->40.2422 14.4341
4-6-0 ->4-8-0	40.2422->52.4003 12.1581
4-8-0 ->4-9-0	52.4003->69.0408 16.6405
4-9-0 ->4-10-0	70.0345->88.9896 18.9551
4-10-0 ->4-13-0	89.053->120.678 31.6246
4-13-0 ->4-15-0	121.242->136.016 14.7745
4-15-0 ->4-17-0	136.016->151.489 15.4729
car1:
5-6-0 ->5-3-0	0->34.0548 34.0548
5-3-0 ->4-11-0	35.9328->171.61 135.677
4-11-0 ->4-9-0	172.159->219.76 47.6006
4-9-0 ->4-8-0	222.493->239.134 16.6405
4-8-0 ->4-6-0	239.134->251.292 12.1581
4-6-0 ->4-3-0	253.199->286.087 32.8877
4-3-0 ->4-3-1	287.018->296.144 9.1261
car2:
4-22-5 ->4-22-4	0->18.0366 18.0366
4-22-4 ->4-22-3	18.0366->35.4006 17.3639
4-22-3 ->4-22-2	35.4006->53.3931 17.9925
4-22-2 ->4-22-1	53.3933->69.7448 16.3515
4-22-1 ->4-22-0	69.745->80.6551 10.9101
4-22-0 ->4-19-0	82.1054->112.327 30.2212
4-19-0 ->4-17-0	113.805->129.478 15.6727
4-17-0 ->4-15-0	129.478->144.951 15.4729
4-15-0 ->4-13-0	144.951->159.725 14.7745
4-13-0 ->4-11-0	163.135->235.316 72.1814
4-11-0 ->5-3-0	235.568->371.246 135.677
5-3-0 ->5-6-0	373.124->405.179 32.0548
5-6-0 ->5-8-0	406.288->421.399 15.1108
car3:
4-17-0 ->4-15-0	0->17.4729 17.4729
4-15-0 ->4-13-0	17.4729->32.2474 14.7745
4-13-0 ->4-10-0	32.8114->64.436 31.6246
4-10-0 ->4-9-0	64.4994->83.4545 18.9551
4-9-0 ->4-8-0	84.4482->101.089 16.6405
4-8-0 ->4-6-0	101.089->113.247 12.1581
4-6-0 ->4-4-0	113.247->127.681 14.4341
4-4-0 ->4-2-0	127.681->141.879 14.1983
4-2-0 ->4-1-0	141.879->151.489 9.6099
car4:
