7-2-0 ->7-1-0	0->4.77101 4.77101
7-1-0 ->7-3-0	4.77101->8.92315 4.15214
7-3-0 ->7-5-0	8.92315->12.0286 3.10543
7-5-0 ->7-7-0	12.0286->14.4037 2.3751
7-7-0 ->7-8-0	14.4037->23.5966 9.19294
7-8-0 ->6-8-0	23.5966->33.2156 9.61895
6-8-0 ->6-9-0	33.2156->65.1177 31.9021
6-9-0 ->6-10-0	65.1177->77.1654 12.0477
6-10-0 ->6-11-0	77.1654->102.078 24.9124
6-11-0 ->5-1-0	102.078->111.538 9.46051
5-1-0 ->5-2-0	111.538->125.185 13.6466
5-2-0 ->5-4-0	125.185->129.293 4.10849
5-4-0 ->5-6-0	129.293->132.824 3.53045
5-6-0 ->5-8-0	132.824->135.846 3.02216
5-8-0 ->5-10-0	135.846->138.834 2.98771
car1:
7-4-0 ->7-3-0	0->4.85011 4.85011
7-3-0 ->7-5-0	4.85011->8.95409 4.10398
7-5-0 ->7-7-0	8.95409->11.3292 2.3751
7-7-0 ->7-8-0	11.3292->20.5221 9.19294
7-8-0 ->6-8-0	20.5221->30.1411 9.61895
6-8-0 ->6-9-0	30.1411->62.0432 31.9021
6-9-0 ->6-10-0	62.0432->74.0909 12.0477
6-10-0 ->6-11-0	74.0909->99.0033 24.9124
6-11-0 ->5-1-0	99.0033->108.464 9.46051
5-1-0 ->5-2-0	108.464->122.11 13.6466
5-2-0 ->5-4-0	122.11->126.219 4.10849
5-4-0 ->5-6-0	126.219->129.749 3.53045
5-6-0 ->5-8-0	129.749->132.772 3.02216
5-8-0 ->5-10-0	132.772->135.759 2.98771
5-10-0 ->5-12-0	135.759->138.863 3.10337
5-12-0 ->5-14-0	138.863->141.915 3.05229
5-14-0 ->5-16-0	141.915->144.961 3.0461
5-16-0 ->5-18-0	144.961->148.041 3.08036
5-18-0 ->5-20-0	148.041->151.077 3.03584
5-20-0 ->5-22-0	151.077->154.107 3.02966
5-22-0 ->5-24-0	154.107->157.169 3.06171
5-24-0 ->5-25-0	157.169->163.347 6.17817
car2:
7-6-0 ->7-5-0	23.5536->28.4037 4.85011
7-5-0 ->7-7-0	28.4037->31.7876 3.38389
7-7-0 ->7-8-0	31.7876->40.9805 9.19294
7-8-0 ->6-8-0	40.9805->50.5995 9.61895
6-8-0 ->6-9-0	50.5995->82.5016 31.9021
6-9-0 ->4-1-0	82.5016->93.9678 11.4661
4-1-0 ->4-2-0	93.9678->96.1971 2.22933
4-2-0 ->4-4-0	96.1971->99.0367 2.83965
4-4-0 ->4-6-0	99.0367->101.924 2.88681
4-6-0 ->4-8-0	101.924->104.355 2.43162
4-8-0 ->4-9-0	104.355->107.683 3.3281
4-9-0 ->4-10-0	107.683->111.673 3.98975
4-10-0 ->4-13-0	111.673->118.011 6.33761
4-13-0 ->4-15-0	118.011->121.078 3.06769
4-15-0 ->4-17-0	121.078->124.173 3.09459
4-17-0 ->4-19-0	124.173->127.307 3.13454
4-19-0 ->4-21-0	127.307->130.302 2.99416
4-21-0 ->4-23-0	130.302->133.32 3.0188
4-23-0 ->4-25-0	133.32->136.403 3.0827
4-25-0 ->4-27-0	136.403->139.528 3.12447
car3:
