3-11-1 ->3-11-0	0->2.17321 2.17321
3-11-0 ->3-7-0	2.17321->8.44667 6.27346
3-7-0 ->3-6-0	8.44667->18.6866 10.2399
3-6-0 ->3-5-0	18.6866->27.9585 9.27194
3-5-0 ->4-42-0	27.9585->38.6009 10.6424
4-42-0 ->4-41-0	38.6009->43.3872 4.7863
4-41-0 ->4-39-0	43.3872->46.1672 2.78007
4-39-0 ->4-37-0	46.1672->49.3027 3.13544
4-37-0 ->4-35-0	49.3027->52.3851 3.08239
4-35-0 ->4-33-0	52.3851->55.4587 3.07365
4-33-0 ->4-31-0	55.4587->58.4377 2.979
4-31-0 ->4-29-0	58.4377->61.5697 3.132
4-29-0 ->4-27-0	61.5697->64.5695 2.99979
4-27-0 ->4-26-0	64.5695->71.0104 6.44084
4-26-0 ->4-26-1	71.0104->73.4973 2.48697
4-26-1 ->4-26-2	73.4973->76.7677 3.27034
4-26-2 ->4-26-3	76.7677->80.3662 3.59855
4-26-3 ->4-26-4	80.3662->83.839 3.4728
4-26-4 ->4-26-5	83.839->87.0463 3.20733
car1:
3-10-0 ->3-5-0	0->7.7102 7.7102
3-5-0 ->4-42-0	7.7102->18.0952 10.385
4-42-0 ->4-41-0	18.0952->22.8815 4.7863
4-41-0 ->4-39-0	22.8815->25.6616 2.78007
4-39-0 ->4-37-0	25.6616->28.797 3.13544
4-37-0 ->4-35-0	28.797->31.8794 3.08239
4-35-0 ->4-34-0	31.8794->39.0488 7.16933
4-34-0 ->4-34-1	39.0488->41.2796 2.23089
4-34-1 ->4-34-2	41.2796->44.7854 3.50573
4-34-2 ->4-34-3	44.7854->48.1663 3.38095
4-34-3 ->4-34-4	48.1663->51.6342 3.46791
4-34-4 ->4-34-5	51.6342->55.1351 3.5009
car2:
4-30-5 ->4-30-4	0->3.59042 3.59042
4-30-4 ->4-30-3	3.59042->7.08926 3.49884
4-30-3 ->4-30-2	7.08926->10.433 3.34376
4-30-2 ->4-30-1	10.433->13.9322 3.49923
4-30-1 ->4-30-0	13.9322->15.9212 1.98894
4-30-0 ->4-31-0	15.9212->22.9739 7.05273
4-31-0 ->4-33-0	22.9739->26.2783 3.30436
4-33-0 ->4-36-0	26.2783->33.5403 7.26199
4-36-0 ->4-37-0	54.3851->62.2137 7.8286
4-37-0 ->4-39-0	62.2137->65.6829 3.46925
4-39-0 ->4-41-0	65.6829->68.463 2.78007
4-41-0 ->4-42-0	68.463->72.971 4.50801
4-42-0 ->3-4-0	72.971->82.5448 9.57383
3-4-0 ->3-3-0	82.5448->109.964 27.4196
3-3-0 ->3-2-0	109.964->122.035 12.0705
3-2-0 ->3-1-0	122.035->189.43 67.3947
3-1-0 ->2-10-0	189.43->200.779 11.349
2-10-0 ->2-9-0	200.779->213.287 12.5084
2-9-0 ->2-8-0	213.287->224.781 11.4943
2-8-0 ->2-7-0	224.781->228.809 4.02736
2-7-0 ->2-3-0	228.809->235.454 6.6451
2-3-0 ->2-2-0	235.454->239.789 4.33543
2-2-0 ->2-6-0	239.789->252.39 12.6004
2-6-0 ->2-6-1	252.39->255.377 2.98724
2-6-1 ->2-6-2	255.377->258.842 3.4649
car3:
